"id","x","y","roomId"
453,1111.5,464.126138,126
454,1111.5,384.65118,126
455,1016.5,384.65118,126
456,1348.0,30.33953,127
457,1348.0,307.252275,127
458,1586.0,307.252275,127
459,1586.0,30.33953,127
460,1348.0,30.33953,127
461,1111.0,30.33953,128
462,1111.0,307.252275,128
